name|mana_cost|mana_value|rules_text
Brain Freeze|{1}{U}|2|Target player mills three cards. Storm.
Frantic Search|{2}{U}|3|Draw two cards, then discard two cards. Untap up to three lands.
Snap|{1}{U}|2|Return target creature to its owner's hand. Untap up to two lands.
Gut Shot|{R/P}|1|Gut Shot deals 1 damage to any target. ({R/P} can be paid with either {R} or 2 life.)
Strike It Rich|{R}|1|Create a Treasure token. Flashback {2}{R}.
Desperate Ritual|{1}{R}{R}|3|Add {R}{R}{R}. Splice onto Arcane {1}{R}
Pyretic Ritual|{1}{R}{R}|3|Add {R}{R}{R}.
Deflecting Swat|{2}{R}|3|You may choose new targets for target spell or ability. If you control a commander, you may cast this spell without paying its mana cost.
Fierce Guardianship|{2}{U}|3|Counter target noncreature spell. If you control a commander, you may cast this spell without paying its mana cost.
Flusterstorm|{U}|1|Counter target instant or sorcery spell unless its controller pays {1}. Storm.
Force of Will|{3}{U}{U}|5|You may pay 1 life and exile a blue card from your hand rather than pay this spell's mana cost. Counter target spell.
Pact of Negation|{0}|0|Counter target spell. At the beginning of your next upkeep, pay {3}{U}{U}. If you don't, you lose the game.
Pyroblast|{R}|1|Choose one — Counter target blue spell; or Destroy target blue permanent.
Swan Song|{U}|1|Counter target enchantment, instant, or sorcery spell. Its controller creates a 2/2 blue Bird creature token with flying.
Underworld Breach|{1}{R}|2|Each nonland card in your graveyard has escape. The escape cost is equal to its mana cost plus exiling three other cards from your graveyard. At the beginning of the end step, sacrifice Underworld Breach.
Defense Grid|{2}|2|Each spell cast on a turn other than its controller's turn costs {3} more to cast.
Mystic Remora|{U}|1|Cumulative upkeep {1}. Whenever an opponent casts a noncreature spell, you may draw a card unless that player pays {4}.
Rhystic Study|{2}{U}|3|Whenever an opponent casts a spell, you may draw a card unless that player pays {1}.
Valley Floodcaller|{1}{U}|2|Flash. Vigilance. You may cast noncreature spells as though they had flash. Whenever you cast a noncreature spell, untap each creature you control that's an Otter, Bird, Frog, or Rat. They get +1/+1 until end of turn.
Arcane Signet|{2}|2|{T}: Add one mana
Chrome Mox|{0}|0|Imprint — When Chrome Mox enters the battlefield, you may exile a nonartifact, nonland card from your hand. {T}: Add one mana of any of the exiled card's colors.
Krark's Thumb|{2}|2|Legendary Artifact. If you would flip a coin, flip two coins and choose one of them instead.
Lion's Eye Diamond|{0}|0|Sacrifice Lion's Eye Diamond, Discard your hand: Add three mana of any one color. Activate only as a sorcery.
Lotus Petal|{0}|0|Sacrifice Lotus Petal: Add one mana of any color.
Mox Diamond|{0}|0|If Mox Diamond would enter the battlefield, you may discard a land card instead. If you do, put Mox Diamond onto the battlefield. If you don't, put it into its owner's graveyard. {T}: Add one mana of any color.
Sol Ring|{1}|1|{T}: Add {C}{C}.
Springleaf Drum|{1}|1|{T}, Tap an untapped creature you control: Add one mana of any color.
The One Ring|{4}|4|Legendary Artifact. Indestructible. When The One Ring enters the battlefield, if you cast it, you gain protection from everything until your next turn. At the beginning of your upkeep, you lose 1 life for each burden counter on it. {T}: Put a burden counter on it, then draw a card for each burden counter on it.
Ancient Tomb|Land|0|{T}: Add {C}{C}. Ancient Tomb deals 2 damage to you.
Command Tower|Land|0|{T}: Add one mana of any color in your commander's color identity.
Great Furnace|Land|0|Artifact Land. {T}: Add {R}.
Otawara, Soaring City|Land|0|Legendary Land. {T}: Add {U}. Channel — {3}{U}, Discard Otawara: Return target artifact, creature, enchantment, or planeswalker to its owner's hand. This ability costs {1} less for each legendary creature you control.
Seat of the Synod|Land|0|Artifact Land. {T}: Add {U}.
Shivan Reef|Land|0|{T}: Add {C}. {T}: Add {U} or {R}. Shivan Reef deals 1 damage to you.
Sulfur Falls|Land|0|Sulfur Falls enters the battlefield tapped unless you control an Island or a Mountain. {T}: Add {U} or {R}.
Island|Basic Land|0|Basic Land — Island
Mountain|Basic Land|0|Basic Land — Mountain
